AC_NO,AC_NAME
1,ICHCHAPURAM
2,PALASA
3,TEKKALI
4,PATHAPATNAM
5,SRIKAKULAM
6,AMADALAVALASA
7,ETCHERLA
8,NARASANNAPETA
9,RAJAM (SC)
10,PALAKONDA (ST)
11,KURUPAM (ST)
12,PARVATHIPURAM (SC)
13,SALUR (ST)
14,BOBBILI
15,CHEPURUPALLE
16,GAJAPATHINAGARAM
17,NELLIMARLA
18,VIZIANAGARM
19,SRUNGAVARAPUKOTA
20,BHIMILI
21,VISHAKAPATNAM EAST
22,VISHAKAPATNAM SOUTH
23,VISHAKAPATNAM NORTH
24,VISHAKAPATNAM WEST
25,GAJUWAKA
26,CHODAVARM
27,MADUGULA
28,ARAKU VALLEY (ST)
29,PADERU (ST)
30,ANAKAPALLE
31,PENDURTHI
32,YLAMANCHILI
33,PAYAKARAOPET (SC)
34,NARSIPATNAM
35,TUNI
36,PRATHIPADU
37,PITHAPURAM
38,KAKINADA RURAL
39,PEDDAPURAM
40,ANAPARTHY
41,KAKINADA CITY
42,RAMACHENDRAPURAM
43,MUMMIDIVARAM
44,AMALAPURAM (SC)
45,RAZOLE (SC)
46,GANNAVARAM (SC)
47,KOTHAPETA
48,MANDAPETA
49,RAJANAGARAM
50,RAJAHMUNDRY CITY
51,RAJAHMUNDRY RURAL
52,JAGGAMPETA
53,RAMPACHODAVARAM (ST)
54,KOVVUR (SC)
55,NIDADAVOLE
56,ACHANTA
57,PALACOLE
58,NARSAPURAM
59,BHIMAVARAM
60,UNDI
61,TANUKU
62,TADEPALLIGUDEM
63,UNGUTUR
64,DENDULURU
65,ELURU
66,GOPALAPURAM (SC)
67,POLAVARAM (ST)
68,CHINTALAPUDI (SC)
69,TIRUVURU (SC)
70,NUZVID
71,GANNAVARAM
72,GUDIVADA
73,KAIKALUR
74,PEDANA
75,MACHILIPATNAM
76,AVANIGADDA
77,PAMARRU (SC)
78,PENAMALURU
79,VIJAYAWADA WEST
80,VIJAYAWADA CENTRAL
81,VIJAYAWADA EAST
82,MYLAVARAM
83,NANDIGAMA (SC)
84,JAGGAYYAPETA
85,PEDAKURAPADU
86,TADIKONDA (SC)
87,MANGALAGIRI
88,PONNUR
89,VEMURU (SC)
90,REPALLE
91,TENALI
92,BAPATLA
93,PRATHIPADU (SC)
94,GUNTUR WEST
95,GUNTUR EAST
96,CHILAKALURIPET
97,NARASARAOPET
98,SATTENAPALLE
99,VINUKONDA
100,GURAJALA
101,MACHERLA
102,YERRAGONDAPALEM (SC)
103,DARSI
104,PARCHUR
105,ADDANKI
106,CHIRALA
107,SANTANUTHALAPADU (SC)
108,ONGOLE
109,KANDUKUR
110,KONDAPI (SC)
111,MARKAPURAM
112,GIDDALUR
113,KANIGIRI
114,KAVALI
115,ATMAKUR
116,KOVURU
117,NELLORE CITY
118,NELLORE RURAL
119,SARVEPALLI
120,GUDUR (SC)
121,SULLURUPETA (SC)
122,VENKATAGIRI
123,UDAYAGIRI
124,BADVEL (SC)
125,RAJAMPET
126,KADAPA
127,KODUR (SC)
128,RAYACHOTI
129,PULIVENDLA
130,KAMALAPURAM
131,JAMMALAMADUGU
132,PRODDATUR
133,MYDUKUR
134,ALLAGADDA
135,SRISAILAM
136,NANDIKOTKUR (SC)
137,KURNOOL
138,PANYAM
139,NANDYAL
140,BANAGANAPALLE
141,DHONE
142,PATTIKONDA
143,KODUMURU (SC)
144,YEMMIGANUR
145,MANTRALAYAM
146,ADONI
147,ALUR
148,RAYADURG
149,URAVAKONDA
150,GUNTAKAL
151,TADIPATRI
152,SINGANAMALA (SC)
153,ANANTAPUR URBAN
154,KALYANDURG
155,RAPTADU
156,MADAKASIRA (SC)
157,HINDUPUR
158,PENUKONDA
159,PUTTAPARTHI
160,DHARMAVARAM
161,KADARI
162,THAMALLAPALLE
163,PILERU
164,MADANAPALLE
165,PUNGANUR
166,CHANDRAGIRI
167,TIRUPATI
168,SRIKALAHASTI
169,SATYAVEDU (SC)
170,NAGARI
171,GANGADHARANELLORE (SC)
172,CHITOOR
173,PUTHALAPATTU (SC)
174,PALAMANER
175,KUPPAM
